year,avg_temp
1743,-2.53
1744,8.07
1745,-5.84
1746,
1747,
1748,
1749,
1750,5.65
1751,6.44
1752,-2.72
1753,4.94
1754,4.69
1755,1.80
1756,5.11
1757,4.38
1758,3.49
1759,4.50
1760,2.47
1761,5.27
1762,5.20
1763,2.26
1764,4.55
1765,4.15
1766,5.34
1767,3.80
1768,3.80
1769,4.75
1770,4.61
1771,5.18
1772,5.20
1773,5.25
1774,4.56
1775,5.99
1776,4.80
1777,4.73
1778,1.80
1779,5.09
1780,8.71
1781,5.02
1782,4.58
1783,4.38
1784,4.48
1785,4.17
1786,4.74
1787,4.79
1788,5.16
1789,4.95
1790,4.83
1791,5.10
1792,4.65
1793,5.01
1794,5.17
1795,5.01
1796,5.02
1797,4.63
1798,5.34
1799,5.11
1800,5.06
1801,5.39
1802,5.52
1803,5.30
1804,5.37
1805,5.39
1806,5.05
1807,4.84
1808,4.63
1809,3.79
1810,3.86
1811,4.04
1812,3.17
1813,4.70
1814,4.64
1815,3.75
1816,3.02
1817,3.51
1818,4.71
1819,3.87
1820,3.49
1821,4.07
1822,4.38
1823,4.01
1824,4.21
1825,5.80
1826,4.68
1827,5.49
1828,5.34
1829,4.78
1830,6.14
1831,3.83
1832,5.11
1833,5.91
1834,5.89
1835,3.91
1836,3.78
1837,4.38
1838,3.33
1839,5.77
1840,4.86
1841,4.71
1842,4.80
1843,3.33
1844,4.29
1845,5.54
1846,6.89
1847,4.02
1848,4.29
1849,3.97
1850,4.85
1851,5.63
1852,4.91
1853,4.39
1854,5.49
1855,4.30
1856,3.81
1857,3.70
1858,5.45
1859,3.49
1860,4.43
1861,3.99
1862,3.21
1863,4.21
1864,4.16
1865,4.63
1866,3.32
1867,3.24
1868,3.64
1869,3.68
1870,5.54
1871,4.53
1872,3.74
1873,3.56
1874,4.62
1875,2.18
1876,3.71
1877,5.95
1878,7.20
1879,4.92
1880,4.41
1881,4.75
1882,5.14
1883,2.69
1884,3.59
1885,3.43
1886,4.07
1887,3.69
1888,3.14
1889,5.34
1890,4.59
1891,5.16
1892,4.34
1893,3.50
1894,6.10
1895,4.65
1896,4.63
1897,4.59
1898,5.30
1899,4.54
1900,6.00
1901,5.27
1902,5.25
1903,4.05
1904,3.68
1905,4.73
1906,5.25
1907,3.95
1908,5.98
1909,4.75
1910,5.79
1911,5.23
1912,4.07
1913,5.51
1914,5.25
1915,5.50
1916,3.95
1917,2.94
1918,5.62
1919,5.03
1920,5.15
1921,6.85
1922,5.73
1923,5.56
1924,4.03
1925,5.23
1926,4.58
1927,4.43
1928,5.43
1929,3.98
1930,6.06
1931,8.24
1932,5.16
1933,5.64
1934,6.04
1935,5.03
1936,4.31
1937,4.60
1938,6.29
1939,6.11
1940,5.02
1941,6.60
1942,5.80
1943,4.82
1944,6.31
1945,4.70
1946,5.79
1947,5.49
1948,5.46
1949,5.90
1950,3.49
1951,3.84
1952,5.96
1953,6.32
1954,5.85
1955,5.43
1956,5.21
1957,5.36
1958,5.60
1959,5.63
1960,5.30
1961,5.97
1962,5.26
1963,5.90
1964,5.99
1965,4.40
1966,4.69
1967,4.71
1968,5.80
1969,5.23
1970,4.97
1971,5.13
1972,3.88
1973,6.53
1974,5.44
1975,5.33
1976,5.44
1977,5.90
1978,4.91
1979,4.20
1980,5.60
1981,6.48
1982,4.76
1983,5.88
1984,5.95
1985,4.65
1986,6.09
1987,8.21
1988,6.10
1989,4.76
1990,6.65
1991,6.16
1992,5.86
1993,4.80
1994,5.69
1995,5.44
1996,4.01
1997,5.57
1998,7.94
1999,7.15
2000,6.03
2001,6.76
2002,6.30
2003,6.04
2004,5.89
2005,6.87
2006,7.51
2007,6.58
2008,4.84
2009,5.26
2010,6.71
2011,6.25
2012,7.98
2013,7.26
